"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants"
"822","Grattan Elementary","165 Grattan St","San Francisco","94117","1281013","Own","16","School District (Sfusd)","55,420","-122.45044870099997","37.76369766600004","8",
"3156","Ground Lease - 1101 Connecticut","1101 Connecticut St","San Francisco","94107","4287076","Own","16","School District (Sfusd)",,"-122.39615376299997","37.75197760200007","10",
"831","Guadalupe Elementary","859 Prague St","San Francisco","94112","6440001","Own","16","School District (Sfusd)","40,777","-122.43449972499997","37.710134562000064","11",
"852","Harvey Milk Civil Rights Academy","4235 19th St","San Francisco","94114","2697001","Own","16","School District (Sfusd)","30,560","-122.436455121","37.75897967700007","8",
"860","Herbert Hoover Middle","2290 14th Ave","San Francisco","94116","2336028","Own","16","School District (Sfusd)","132,400","-122.46882601799996","37.74574385100004","7",
"868","Hillcrest Elementary","810 Silver Ave","San Francisco","94134","5911005","Own","16","School District (Sfusd)","60,280","-122.41886225599995","37.728822311000044","9",
"869","Hilltop County Community High / Sunshine Building","1325 Florida St","San Francisco","94110","4273008","Own","16","School District (Sfusd)","61,442","-122.40939655399995","37.750432484000044","9",
"893","Ida B Wells High","1099 Hayes St","San Francisco","94117","0823011","Own","16","School District (Sfusd)","34,300","-122.43403687999995","37.77498638600008","5",
"895","Independence High School","1350 7th Ave","San Francisco","94122","1761040","Own","16","School District (Sfusd)","30,114","-122.46385164099996","37.76321881700005","7",
"898","International Studies Academy at Enola Maxwell","655 De Haro St","San Francisco","94107","4032001","Own","16","School District (Sfusd)","108,400","-122.40080497099996","37.76182550100003","10",
"916","James Denman Middle / Leadership High","241 Oneida Ave","San Francisco","94112","6961004","Own","16","School District (Sfusd)",,"-122.44326236999996","37.72143884800005","11",
"3003","James Lick Middle","1220 Noe St","San Francisco","94114","6547001","Own","16","School District (Sfusd)",,"-122.43215525099998","37.74954430400004","8",
"935","Jean Parker Elementary","840 Broadway","San Francisco","94133","0148008","Own","16","School District (Sfusd)","46,000","-122.41105311899997","37.79764323200004","3",
"936","Jefferson Early Education","1350 25th Ave","San Francisco","94122","1779007","Own","16","School District (Sfusd)","2,400","-122.48316724799997","37.76231994300008","4",
"937","Jefferson Elementary","1725 Irving St","San Francisco","94122","1773001","Own","16","School District (Sfusd)","42,434","-122.47681453899997","37.76329393000003","7",
